,list_contrib,list_own,list_wf,nb_contrib,nb_own,nb_reuse,nb_wf,tools
212,"{'icaromsc', 'fburic', 'elimoss', 'mwcrepeau', 'fcarelli', 'percyfal', 'tamburinif', 'Bella2347', 'hnawar', 'scottgigante', 'natir', 'olledejong', 'Redmar-van-den-Berg', 'bfremin', 'CarolinaPB', 'alexhbnr', 'jpvernadet', 'Tu6ka', 'jribado', 'Juliepvr', 'sailalithabollepalli', 'conchoecia', 'sztankatt', 'Jingyu-Fan', 'bsiranosian', 'haansi', 'arushiv', 'crazyhottommy', 'kuruis', 'porchard', 'razielar', 'filcfig', 'mw55309', 'MaleloAS', 'Aexbrayat', '0mician', 'raivivek', 'kdm9', 'MaybeJustJames', 'baigal628', 'rblemma', 'bergeycm', 'ambenj', 'liulab-dfci', 'LucoLab', 'MeHelmy', 'dantaki', 'IgnatiusPang', 'oskarvid', 'Jyyin333', 'ThibautPayen', 'scbaca', 'franciscozorrilla', 'dgmaghini', 'ia327', 'Tobi1kenobi', 'tmuylder', 'rathmuth', 'hsigeman', 'adadiehl', 'Ducklegs17', 'mberacochea', 'cosnicolaou', 'vodkatad', 'maxlcummins', 'reliscu', 'davemcg', 'fabiopuddu', 'wrf', 'rhpvorderman', 'navajain', 'AmitBinf', 'sskashaf', 'Shmuppel', 'deanpettinga', 'sevance', 'liutiming', 'dadahan', 'sndrtj', 'chuckzzzz', 'loire'}","{'filcfig', 'scbaca', 'franciscozorrilla', 'alexhbnr', 'mw55309', 'MaleloAS', 'CarlborgGenomics', 'Juliepvr', 'Tobi1kenobi', 'Xiuying', 'csbl-inovausp', 'sailalithabollepalli', 'Aexbrayat', 'conchoecia', 'rathmuth', 'raivivek', 'CarolinaPB', 'kdm9', 'sztankatt', 'bioinformatics-polito', 'LUMC', 'elimoss', 'Ducklegs17', 'Jingyu-Fan', 'fcarelli', 'rblemma', 'WatsonLab', 'vibbits', 'mwcrepeau', 'vodkatad', 'ambenj', 'maxlcummins', 'bergeylab', 'percyfal', 'arushiv', 'liulab-dfci', 'LucoLab', 'Bella2347', 'reliscu', 'davemcg', 'scottgigante', 'Finn-Lab', 'fabiopuddu', 'eanbit-rt', 'MeHelmy', 'dantaki', 'IgnatiusPang', 'oskarvid', 'Jyyin333', 'wenching', 'natir', 'deanpettinga', 'Shmuppel', 'Boyle-Lab', 'olledejong', 'LoGT-KULeuven', 'i2bc', 'liutiming', 'porchard', 'razielar', 'chuckzzzz', 'loire', 'liluacrobat', 'bhattlab'}","{'franciscozorrilla/metaGEM/2', 'liutiming/snakemake-workshop-files/1', 'elimoss/metagenomics_workflows/1', 'liluacrobat/Shotgun_inStrain/5', 'eanbit-rt/ReproducibleResearch/3', 'WatsonLab/GoogleMAGs/10', 'olledejong/Snakemake-Pipeline/1', 'fcarelli/glre/30', 'Tobi1kenobi/snakemake-workshop/3', 'filcfig/PCP/3', 'WatsonLab/GoogleMAGs/7', 'mw55309/MAGCloudCosts/5', 'chuckzzzz/snake_make_tutorial/1', 'WatsonLab/GoogleMAGs/5', 'arushiv/regulatoryAnnotations_comparisons/19', 'bergeylab/simple-snakemake-example/1', 'alexhbnr/mitoBench-ancientMT/1', 'reliscu/sam_ampseq/1', 'liluacrobat/Shotgun_inStrain/7', 'MeHelmy/covid-pipeline/1', 'eanbit-rt/ReproducibleResearch/2', 'liulab-dfci/CHIPS/9', 'IgnatiusPang/Snakemake_Demo/1', 'liluacrobat/Shotgun_inStrain/9', 'Aexbrayat/snakevir/1', 'fabiopuddu/augur-fermentorum/4', 'csbl-inovausp/snakemake_lab_training/1', 'sztankatt/brandeis-secondment/1', 'mw55309/MAGCloudCosts/15', 'mw55309/MAGCloudCosts/3', 'mwcrepeau/snakemake_kubernetes_test/1', 'elimoss/metagenomics_workflows/5', 'Jingyu-Fan/imputed_cistrome/1', 'WatsonLab/GoogleMAGs/1', 'ambenj/bin_das_tool/1', 'sailalithabollepalli/ChIPSeqAnalysis/1', 'eanbit-rt/ReproducibleResearch/11', 'fcarelli/glre/11', 'vibbits/example-bioinformatics-project/1', 'bhattlab/bhattlab_workflows/19', 'liluacrobat/Shotgun_inStrain/18', 'bhattlab/bhattlab_workflows/7', 'LoGT-KULeuven/y2h_Bam35-Bt_analysis/1', 'Boyle-Lab/short-read-seq_snakemake/1', 'liluacrobat/Shotgun_inStrain/8', 'Shmuppel/diagnostic-genome-analysis/4', 'franciscozorrilla/metaGEM/3', 'mw55309/MAGCloudCosts/7', 'wenching/DataSciencesPlatforms/2', 'mw55309/MAGCloudCosts/11', 'Juliepvr/snakemake_metagenomic/1', 'filcfig/PCP/1', 'fcarelli/glre/44', 'Jyyin333/CLAPS-seq/1', 'bhattlab/bhattlab_workflows/8', 'bhattlab/bhattlab_workflows/9', 'filcfig/PCP/2', 'loire/snakevirome/1', 'liluacrobat/Shotgun_inStrain/25', 'fcarelli/glre/6', 'bhattlab/lathe/1', 'liluacrobat/Shotgun_inStrain/12', 'oskarvid/snakemake_germline_legacy/1', 'vodkatad/WXS_SNV/6', 'dantaki/snakemake_tutorial/1', 'liluacrobat/Shotgun_inStrain/14', 'rathmuth/RADseq/1', 'elimoss/lathe/1', 'deanpettinga/ecc_workflow/1', 'kdm9/2020_snakemake-workshop/1', 'liutiming/snakemake-workshop-files/3', 'vodkatad/snakegatk/6', 'bhattlab/bhattlab_workflows/28', 'franciscozorrilla/metaGEM/1', 'liluacrobat/Shotgun_inStrain/24', 'vodkatad/snakegatk/7', 'liluacrobat/Shotgun_inStrain/10', 'percyfal/pytest-ngsfixtures/1', 'bhattlab/bhattlab_workflows/10', 'CarlborgGenomics/Stripes/2', 'Xiuying/CallVars/1', 'LUMC/hutspot/1', 'bhattlab/bhattlab_workflows/5', 'LoGT-KULeuven/y2h_Bam35-Bt_analysis/2', 'bhattlab/bhattlab_workflows/24', 'maxlcummins/pipelord/15', 'mw55309/MAGCloudCosts/1', 'CarolinaPB/gbs-genetic-fitness/1', 'vodkatad/WXS_SNV/5', 'eanbit-rt/ReproducibleResearch/10', 'Finn-Lab/MAG_Snakemake_wf/8', 'raivivek/Snakemake_WASP/1', 'conchoecia/hormiphora/1', 'WatsonLab/GoogleMAGs/9', 'liluacrobat/Shotgun_inStrain/21', 'sailalithabollepalli/ChIPSeqAnalysis/2', 'Ducklegs17/tigersnakes/1', 'porchard/ATACseq-Snakemake/1', 'fcarelli/glre/29', 'bhattlab/bhattlab_workflows/14', 'i2bc/TOP/1', 'MaleloAS/Alice_MS/1', 'Shmuppel/diagnostic-genome-analysis/10', 'WatsonLab/GoogleMAGs/3', 'vodkatad/WXS_SNV/7', 'mw55309/MAGCloudCosts/13', 'rblemma/K562_Myb_ChIP-seq/1', 'Bella2347/snakemake-sex-chr/1', 'scottgigante/haplotyped-methylome/6', 'mw55309/MAGCloudCosts/9', 'scbaca/cwas/1', 'liulab-dfci/CHIPS/11', 'fcarelli/glre/12', 'bhattlab/bhattlab_workflows/20', 'bhattlab/bhattlab_workflows/27', 'natir/yacrd-and-fpa-upstream-tools-for-lr-genome-assembly/1', 'LucoLab/ChIPSeQ/1', 'fcarelli/glre/5', 'eanbit-rt/ReproducibleResearch/1', 'bioinformatics-polito/PhyliCS_usage/1', 'davemcg/NGS_genotype_calling/1', 'bhattlab/bhattlab_workflows/12', 'razielar/Identification-of-de-novo-lncRNA-genes/3'}",81.0,64.0,137.0,123.0,"['BWA', 'SAMtools']"
213,"{'kkkaslikar', 'alexzaccaron', 'peter-yufan-zeng', 'MeHelmy'}","{'kkkaslikar', 'alexzaccaron', 'peter-yufan-zeng', 'MeHelmy'}","{'MeHelmy/covid-pipeline/1', 'alexzaccaron/2021_enec_mt/5', 'kkkaslikar/variant-calling-pipeline/1', 'peter-yufan-zeng/AN_WGS_script/1'}",4.0,4.0,8.0,4.0,['snpEff']
214,{'0mician'},{'LoGT-KULeuven'},{'LoGT-KULeuven/y2h_Bam35-Bt_analysis/2'},1.0,1.0,1.0,1.0,"['BWA', 'SAMtools', 'SAMtools', 'SAMtools', 'htseqcount']"
215,{'Ellis-Anderson'},{'CGI-stLFR'},{'CGI-stLFR/CGI_supernova_Pipeline/1'},1.0,1.0,1.0,1.0,['assemblyget']
216,"{'fennerm', 'lishen', 'penglbio', 'aartrama', 'mestill7'}","{'shenlab-sinai', 'penglbio', 'fennerm', 'bioxfu'}","{'bioxfu/RNA-Seq/2', 'bioxfu/iCLIP/2', 'bioxfu/ChIP-Seq/2', 'penglbio/RNA_Seq/2', 'penglbio/RNA_Seq/1', 'shenlab-sinai/NGS-Data-Charmer/1', 'bioxfu/iCLIP/1', 'fennerm/megadaph/1', 'bioxfu/ChIP-Seq/1', 'bioxfu/RNA-Seq/3', 'bioxfu/RNA-Seq/1', 'penglbio/RNA_Seq/3'}",5.0,4.0,14.0,12.0,['IGVtools']
217,"{'mikheyev', 'jribado', 'glchn', 'SamStudio8', 'shaunchuah', 'elimoss', 'Kurtj-hub', 'cosnicolaou', 'ambenj', 'bsiranosian', 'OliverH2020', 'tamburinif', 'navajain', 'jonathho', 'boasvdp', 'linsalrob', 'sevance', 'cmkobel', 'LLansing', 'ropolomx', 'MostafaYA', 'bfremin', 'reedacartwright'}","{'linsalrob', 'SamStudio8', 'shaunchuah', 'cmkobel', 'elimoss', 'BeeCSI-Microbiome', 'ambenj', 'MostafaYA', 'MaevaTecher', 'liluacrobat', 'bhattlab', 'boasvdp'}","{'SamStudio8/reticulatus/1', 'liluacrobat/Shotgun_inStrain/25', 'liluacrobat/Shotgun_inStrain/12', 'BeeCSI-Microbiome/taxonomic_profiling_pipeline/1', 'elimoss/metagenomics_workflows/3', 'ambenj/bin_das_tool/1', 'cmkobel/assemblycomparator2/1', 'boasvdp/COMBAT/3', 'bhattlab/bhattlab_workflows/28', 'bhattlab/bhattlab_workflows/7', 'liluacrobat/Shotgun_inStrain/24', 'shaunchuah/cfdna_workflow/1', 'liluacrobat/Shotgun_inStrain/10', 'liluacrobat/Shotgun_inStrain/8', 'bhattlab/bhattlab_workflows/10', 'liluacrobat/Shotgun_inStrain/7', 'MaevaTecher/varroa-host-jump/1', 'bhattlab/bhattlab_workflows/27', 'bhattlab/bhattlab_workflows/12', 'MostafaYA/snakeNullarbor/1', 'liluacrobat/Shotgun_inStrain/9', 'linsalrob/atavide/7', 'bhattlab/bhattlab_workflows/8', 'bhattlab/bhattlab_workflows/9'}",23.0,12.0,26.0,24.0,['kraken2']
218,{'jmonlong'},{'jmonlong'},"{'jmonlong/pangenome-evaluation/2', 'jmonlong/pangenome-evaluation/1'}",1.0,1.0,8.0,2.0,"['VGA', 'VGA', 'VGA']"
219,{'alexhbnr'},{'alexhbnr'},{'alexhbnr/mitoBench-ancientMT/1'},1.0,1.0,2.0,1.0,"['BWA', 'Sambamba']"
220,{'waglecn'},{'waglecn'},{'waglecn/helD_search/1'},1.0,1.0,1.0,1.0,['HLungDB']
221,"{'alexhbnr', 'halexand', 'fieldima', 'JoeBlackSci', 'rvosa', 'bricoletc', 'fcarelli', 'asmmhossain', 'elfyly', 'jffcole7', 'yp', 'danielzmbp', 'tijeco', 'annazhukova', 'amholtz', 'sciccolella', 'jennahd', 'alexzaccaron', 'megancamilla', 'jzehr', 'waglecn', 'jbloom', 'fredericlemoine'}","{'alexhbnr', 'halexand', 'fieldima', 'JoeBlackSci', 'fcarelli', 'evolbioinfo', 'asmmhossain', 'jbloomlab', 'AlgoLab', 'danielzmbp', 'tijeco', 'amholtz', 'jennahd', 'alexzaccaron', 'veg', 'iqbal-lab-org', 'waglecn', 'jbloom', 'naturalis'}","{'alexzaccaron/2021_enec_mt/6', 'halexand/BUSCO-MAG-Phylogeny/1', 'JoeBlackSci/SAHDA/1', 'iqbal-lab-org/paper_gramtools_nesting/1', 'evolbioinfo/zika_Vietnam/1', 'asmmhossain/phlow/1', 'tijeco/FUSTr/1', 'fcarelli/glre/9', 'iqbal-lab-org/paper_gramtools_nesting/2', 'amholtz/snakemake_rabies/1', 'jbloomlab/CoV_229E_antigenic_drift/1', 'fieldima/biof501-pipeline/1', 'alexhbnr/mitoBench-ancientMT/1', 'alexzaccaron/2021_pms_mt/4', 'waglecn/helD_search/1', 'naturalis/brassicaceae-hybseq-pipeline/3', 'jbloom/SARS-CoV-2_PRJNA612766/1', 'danielzmbp/wsgups/1', 'AlgoLab/MALVIRUS-repro/2', 'jennahd/HGT_trees/1', 'naturalis/brassicaceae-hybseq-pipeline/4', 'veg/coronavirus-comparative/1'}",23.0,19.0,24.0,22.0,['MAFFT']
222,{'mirand863'},{'mirand863'},"{'mirand863/ganon_cami2/1', 'mirand863/ganon_cami2/2'}",1.0,1.0,4.0,2.0,['Ganon']
223,"{'bpt26', 'SarahEJensen'}",{'bpt26'},{'bpt26/tRAP/1'},2.0,1.0,1.0,1.0,['miRNAFold']
224,set(),{'mscharmann'},"{'mscharmann/sexdelim/2', 'mscharmann/sexdelim/1'}",0.0,1.0,2.0,2.0,"['RACE', 'PLINK']"
225,"{'fburic', 'franciscozorrilla'}",{'franciscozorrilla'},{'franciscozorrilla/metaGEM/1'},2.0,1.0,1.0,1.0,['LLCT']
226,"{'niekh-13', 'Tu6ka', 'pmenzel', 'tyhsu389', 'maxlcummins', 'willpitchers', 'kristyhoran', 'boasvdp'}","{'niekh-13', 'pmenzel', 'tyhsu389', 'maxlcummins', 'willpitchers', 'boasvdp', 'MDU-PHL'}","{'maxlcummins/pipelord/6', 'tyhsu389/uphl_reference_free/1', 'niekh-13/phylogenetic_workflows/2', 'boasvdp/COMBAT/3', 'pmenzel/illumina-assembly-snake/1', 'MDU-PHL/Coreugate/1', 'willpitchers/Coreugate/1'}",8.0,7.0,9.0,7.0,['shovill']
227,"{'johnne', 'andnischneider'}",{'andnischneider'},{'andnischneider/its_workflow/1'},2.0,1.0,1.0,1.0,['deML']
228,"{'mkarmona', 'ireneisdoomed', 'ktsirigos', 'Jeremy37', 'hurrialice', 'xyg123', 'edm1', 'elipapa'}","{'opentargets', 'getzlab'}","{'opentargets/genetics-v2d-data/6', 'getzlab/smk-m2/1'}",8.0,2.0,2.0,2.0,['NGSUtils']
229,{'tjense25'},{'tjense25'},{'tjense25/SRS_SV_calling/1'},1.0,1.0,1.0,1.0,"['Jasmine', 'BCFtools', 'BCFtools', 'BCFtools']"
230,{'MigleSur'},{'MigleSur'},"{'MigleSur/Pactyper/2', 'MigleSur/Pactyper/1'}",1.0,1.0,2.0,2.0,['NEWT']
231,{'natir'},{'natir'},"{'natir/yacrd-and-fpa-upstream-tools-for-lr-genome-assembly/5', 'natir/yacrd-and-fpa-upstream-tools-for-lr-genome-assembly/3'}",1.0,1.0,2.0,2.0,"['Minimap2', 'MFPaQ']"
232,"{'alexzaccaron', 'rbonneville', 'scottgigante', 'thomas-keller', 'willrosenow', 'penglbio', 'khavernathy', 'vaquerizaslab', 'CancerGenetics007', 'kauralasoo', 'KL-Bloomer', 'DCGenomics', 'montpetitlab', 'biplabua', 'taylorreiter', 'liz-is'}","{'alexzaccaron', 'NCBI-Hackathons', 'scottgigante', 'willrosenow', 'penglbio', 'vaquerizaslab', 'OSU-SRLab', 'bioxfu', 'kauralasoo', 'KL-Bloomer', 'montpetitlab', 'mgildea87'}","{'montpetitlab/Aguilar_and_Paul_et_al_2020/2', 'penglbio/RNA_Seq/1', 'willrosenow/RNA-seq-snakemake/1', 'bioxfu/RNA-Seq/2', 'alexzaccaron/2021_enec_mt/4', 'bioxfu/virusExpress/1', 'montpetitlab/Aguilar_and_Paul_et_al_2020/3', 'scottgigante/haplotyped-methylome/8', 'mgildea87/RNAseq_PE_HISAT2_stringtie_novel_transcripts/1', 'KL-Bloomer/mres-malaria-gene-expression/1', 'kauralasoo/macrophage-tuQTLs/2', 'kauralasoo/macrophage-tuQTLs/3', 'OSU-SRLab/SCLC-autopsy-genomics/1', 'bioxfu/RNA-Seq/3', 'montpetitlab/Aguilar_and_Paul_et_al_2020/1', 'penglbio/RNA_Seq/3', 'penglbio/RNA_Seq/2', 'vaquerizaslab/Ing-Simmons_et_al_dorsoventral_3D_genome/4', 'NCBI-Hackathons/MassiveSeq/1', 'bioxfu/RNA-Seq/1', 'mgildea87/RNAseq_PE_HISAT2_stringtie/1'}",16.0,12.0,21.0,21.0,"['HISAT2', 'SAMtools', 'SAMtools']"
233,"{'wenweiliang', 'fernanda-rodrigues'}",{'ding-lab'},"{'ding-lab/germline_variant_snakemake/2', 'ding-lab/germline_variant_snakemake/3', 'ding-lab/germline_variant_snakemake/1'}",2.0,1.0,3.0,3.0,['Pindel']
234,{'gregdenay'},{'CVUA-RRW'},{'CVUA-RRW/BAnalyzer/1'},1.0,1.0,1.0,1.0,"['seqtk', 'Cutadapt']"
235,{'Jingyu-Fan'},{'Jingyu-Fan'},{'Jingyu-Fan/imputed_cistrome/1'},1.0,1.0,1.0,1.0,['DNaseR']
236,{'redekarnr'},{'NCBR-FNLCR'},{'NCBR-FNLCR/Long-read-genome-assembly/1'},1.0,1.0,1.0,1.0,"['Minimap2', 'ANACONDA']"
237,{'spaenigs'},{'spaenigs'},{'spaenigs/peptidereactor/81'},1.0,1.0,1.0,1.0,['PSIPRED']
238,"{'Redmar-van-den-Berg', 'bow'}","{'Miachol', 'LUMC'}","{'LUMC/HAMLET/6', 'Miachol/hamlet/7', 'Miachol/hamlet/6', 'LUMC/HAMLET/5'}",2.0,2.0,4.0,4.0,"['BWA', 'SAMtools', 'Picard']"
239,{'elimoss'},{'elimoss'},{'elimoss/metagenomics_workflows/4'},1.0,1.0,1.0,1.0,['Kraken']
240,"{'msauria', 'fabiopuddu', 'ia327'}","{'msauria', 'fabiopuddu'}","{'fabiopuddu/augur-fermentorum/6', 'msauria/T2T_Kmer_Analysis/1', 'msauria/T2T_MUK_Analysis/1'}",3.0,2.0,4.0,3.0,['Circos']
241,"{'danlooo', 'johnne', 'terrimporter', 'andnischneider'}","{'bioinformatics-leibniz-hki', 'terrimporter', 'andnischneider'}","{'andnischneider/its_workflow/2', 'terrimporter/SCVUIU_ITS_metabarcode_pipeline/1', 'bioinformatics-leibniz-hki/DAnIEL/5'}",4.0,3.0,3.0,3.0,['ITSxpress']
242,{'fburic'},{'fburic'},"{'fburic/candia/6', 'fburic/candia/1'}",1.0,1.0,2.0,2.0,['AgileFileConverter']
243,"{'calchoo', 'mattdoug604', 'creisle', 'dustinbleile'}",{'creisle'},{'creisle/mavis_biof501a/1'},4.0,1.0,6.0,1.0,['MAVisto']
244,{'ACSoupir'},{'ACSoupir'},{'ACSoupir/SnakeMake/1'},1.0,1.0,1.0,1.0,['KrakenUniq']
245,"{'mnavascues', 'silastittes'}","{'mnavascues', 'silastittes'}","{'silastittes/abc_maize/1', 'mnavascues/ABC_TimeAdapt/1', 'silastittes/slim_bgs/1'}",2.0,2.0,3.0,3.0,['SLIM']
246,{'alexhbnr'},{'alexhbnr'},{'alexhbnr/mitoBench-ancientMT/1'},1.0,1.0,1.0,1.0,['MTR']
247,"{'dcsoto', 'miramastoras'}",{'mydennislab'},"{'mydennislab/snake-fastcn/2', 'mydennislab/snake-fastcn/1'}",2.0,1.0,4.0,2.0,['mrsFAST']
248,"{'jmonlong', 'bricoletc'}","{'iqbal-lab-org', 'jmonlong'}","{'jmonlong/pangenome-evaluation/2', 'jmonlong/pangenome-evaluation/1', 'iqbal-lab-org/paper_gramtools_nesting/9'}",2.0,2.0,54.0,3.0,['VGA']
249,{'bettybliu'},{'bettybliu'},{'bettybliu/snakeATAC-singularity/1'},1.0,1.0,1.0,1.0,"['coveragegff', 'bedGraphToBigWig']"
250,"{'callumparr', 'leboralli', 'jimmybgammyknee', 'khembach', 'vaquerizaslab', 'BrandonJRomano', 'mikelove', 'LIniguez', 'sagrudd', 'yahan9416', 'liz-is', 'cjw85', 'mauerjh', 'carissableker', 'paulimer', 'tijsbliek', 'csoneson', 'fionarhuang', 'anilthanki', 'biplabua', 'akirosingh', 'windyeeeee', 'kevinrue', 'Jessiesss', 'sorjuela', 'tjbencomo', 'vinay-swamy', 'NielInfante', 'montpetitlab', 'martynakgajos', 'taylorreiter', 'a-lud', 'drdariarago', 'markrobinsonuzh', 'bsipos', 'mgalland', 'kauralasoo', 'xindong95'}","{'callumparr', 'leboralli', 'vaquerizaslab', 'BrandonJRomano', 'LIniguez', 'nanoporetech', 'paulimer', 'TGAC', 'csoneson', 'UofABioinformaticsHub', 'windyeeeee', 'akirosingh', 'kevinrue', 'KoesGroup', 'tjbencomo', 'vinay-swamy', 'NielInfante', 'montpetitlab', 'martynakgajos', 'drdariarago', 'kauralasoo', 'xindong95'}","{'NielInfante/RNAseq_snakemake/1', 'montpetitlab/Aguilar_and_Paul_et_al_2020/2', 'nanoporetech/pipeline-transcriptome-de/1', 'leboralli/pipeline_ncrna/1', 'akirosingh/BC1bulk-rnaseq/1', 'vinay-swamy/ocular_transcriptomes_pipeline/1', 'LIniguez/Snakemaketest/1', 'xindong95/DEAP/4', 'drdariarago/organoids-probio/1', 'BrandonJRomano/initialRNAseq_snakemake/1', 'kevinrue/snakemake_alevin_citeseq_tutorial/1', 'windyeeeee/RNA-seq/1', 'montpetitlab/Aguilar_and_Paul_et_al_2020/3', 'martynakgajos/nanopore-transcriptome-analysis/1', 'csoneson/ARMOR/1', 'NielInfante/Pipeline_control/1', 'LIniguez/Snakemaketest/2', 'kauralasoo/macrophage-tuQTLs/2', 'KoesGroup/Snakemake_salmon/1', 'paulimer/RNA-seq-analysis-pipeline/2', 'kauralasoo/macrophage-tuQTLs/3', 'UofABioinformaticsHub/RNAseq_snakemake/1', 'paulimer/RNA-seq-analysis-pipeline/3', 'TGAC/lncRNA-analysis/2', 'montpetitlab/Aguilar_and_Paul_et_al_2020/1', 'paulimer/RNA-seq-analysis-pipeline/1', 'leboralli/pipeline_ncrna/2', 'vaquerizaslab/Ing-Simmons_et_al_dorsoventral_3D_genome/4', 'callumparr/ont_tutorial_transcriptome/1', 'vaquerizaslab/Ing-Simmons_et_al_dorsoventral_3D_genome/1', 'tjbencomo/bulk-rnaseq/1', 'leboralli/pipeline_ncrna/3'}",38.0,22.0,49.0,32.0,['Salmon']
251,"{'davemcg', 'fingerfen'}","{'davemcg', 'fingerfen'}","{'davemcg/casey_to_gemini/1', 'fingerfen/WES_Short_Variant_and_CNV_Pipeline/1'}",2.0,2.0,4.0,2.0,['vcfanno']
252,{'mwort'},{'mwort'},{'mwort/snakemake_grass/2'},1.0,1.0,1.0,1.0,['TeXP']
253,"{'rbonneville', 'michalogit', 'jfear', 'thomas-keller', 'jimmybgammyknee', 'banerjeeshayantan', 'leboralli', 'XianXin0418', 'ccwang002', 'mauerjh', 'CancerGenetics007', 'anilthanki', 'DCGenomics', 'vinay-swamy', 'khavernathy', 'a-lud', 'RuiyangLiu94', 'willrosenow', 'williamjeong2'}","{'jfear', 'michalogit', 'NCBI-Hackathons', 'leboralli', 'banerjeeshayantan', 'willrosenow', 'TGAC', 'OSU-SRLab', 'ding-lab', 'vinay-swamy', 'williamjeong2', 'XianXin0418', 'UofABioinformaticsHub', 'mgildea87'}","{'NCBI-Hackathons/MassiveSeq/2', 'leboralli/pipeline_ncrna/1', 'michalogit/snake_hisat/1', 'willrosenow/RNA-seq-snakemake/1', 'vinay-swamy/ocular_transcriptomes_pipeline/1', 'banerjeeshayantan/C3G_testsnakemake/1', 'mgildea87/RNAseq_PE_HISAT2_stringtie_novel_transcripts/1', 'williamjeong2/snakemake_RNA-seq/1', 'XianXin0418/SWORD-pipeline/2', 'jfear/ncbi_remap/14', 'OSU-SRLab/SCLC-autopsy-genomics/1', 'ding-lab/CPTAC3_splicing/1', 'jfear/ncbi_remap/15', 'UofABioinformaticsHub/RNAseq_snakemake/1', 'TGAC/lncRNA-analysis/2', 'TGAC/lncRNA-analysis/1', 'williamjeong2/snakemake_RNA-seq/2', 'jfear/ncbi_remap/8', 'leboralli/pipeline_ncrna/2', 'NCBI-Hackathons/MassiveSeq/1', 'jfear/ncbi_remap/16', 'mgildea87/RNAseq_PE_HISAT2_stringtie/1', 'michalogit/snake_hisat/2'}",19.0,14.0,36.0,23.0,['StringTie']
254,"{'adadiehl', 'porchard'}","{'Boyle-Lab', 'porchard'}","{'porchard/ATACseq-Snakemake/1', 'Boyle-Lab/short-read-seq_snakemake/1'}",2.0,2.0,2.0,2.0,['GCTA']
255,"{'dgmaghini', 'elimoss', 'dadahan', 'bsiranosian'}","{'elimoss', 'bhattlab'}","{'bhattlab/lathe/1', 'elimoss/lathe/1'}",4.0,2.0,2.0,2.0,"['CANU', 'Cgrid']"
256,"{'mikheyev', 'reedacartwright'}",{'MaevaTecher'},{'MaevaTecher/varroa-host-jump/1'},2.0,1.0,1.0,1.0,"['NGMLR', 'SAMtools', 'SAMtools', 'SAMtools', 'VARIANT', 'SAMtools']"
257,"{'jimmybgammyknee', 'a-lud'}",{'UofABioinformaticsHub'},{'UofABioinformaticsHub/RNAseq_snakemake/1'},2.0,1.0,1.0,1.0,"['STAR', 'SAMtools', 'Sambamba']"
258,"{'timodonnell', 'laserson'}",{'lasersonlab'},{'lasersonlab/phip-stat/3'},2.0,1.0,1.0,1.0,['Sumer']
259,{'chrishah'},{'chrishah'},"{'chrishah/phylogenomics-intro/1', 'chrishah/AMEB_HPC_Snakemake/1'}",1.0,1.0,4.0,2.0,['RAxML']
260,{'ksw9'},{'ksw9'},{'ksw9/mtb_pipeline/1'},1.0,1.0,1.0,1.0,"['BCFtools', 'mdp', 'BCFtools']"
261,{'fcarelli'},{'fcarelli'},"{'fcarelli/glre/13', 'fcarelli/glre/14'}",1.0,1.0,8.0,2.0,"['fastafrombed', 'MUSCLE']"
262,"{'fburic', 'franciscozorrilla', 'vrmarcelino'}","{'franciscozorrilla', 'vrmarcelino'}","{'franciscozorrilla/metaGEM/3', 'vrmarcelino/MetaModels/5', 'franciscozorrilla/metaGEM/1', 'vrmarcelino/MetaModels/12', 'vrmarcelino/MetaModels/8'}",3.0,2.0,5.0,5.0,['MetaCarvel']
263,{'bgbrink'},{'bgbrink'},"{'bgbrink/PRJEB35632/1', 'bgbrink/PRJEB35632/2'}",1.0,1.0,2.0,2.0,['FTG']
264,{'wfondrie'},{'wfondrie'},{'wfondrie/snakemake-beer-proteomics/1'},1.0,1.0,1.0,1.0,['ThermoRawFileParser']
265,{'ryhui'},{'ryhui'},{'ryhui/imputation-pipeline/1'},1.0,1.0,1.0,1.0,['Atlas']
266,{'fburic'},{'fburic'},{'fburic/candia/6'},1.0,1.0,1.0,1.0,['idconvert']
267,"{'linsalrob', 'mikheyev', 'mmchaouchi', 'wdeleeuw', 'jessicalumian', 'agata-sm', 'timodonnell', 'laserson', 'reedacartwright'}","{'linsalrob', 'mmchaouchi', 'jessicalumian', 'agata-sm', 'MaevaTecher', 'UvA-MAD', 'kmgibson', 'lasersonlab', 'mgildea87'}","{'mgildea87/CUT-RUN/1', 'kmgibson/FONTANA/4', 'jessicalumian/fryxell-phormidium/1', 'mmchaouchi/Cloud/1', 'linsalrob/atavide/6', 'UvA-MAD/NGS-pipelines/2', 'lasersonlab/phip-stat/1', 'MaevaTecher/varroa-host-jump/1', 'agata-sm/5433_read_processing_pipelines/1'}",9.0,9.0,9.0,9.0,"['Bowtie', 'SAMtools']"
268,"{'EulleSA', 'jimkwon', 'CharlotteAnne', 'schanbaek', 'elfyly', 'rvosa'}","{'EulleSA', 'luslab', 'jimkwon', 'schanbaek', 'slebedeva', 'naturalis'}","{'naturalis/brassicaceae-hybseq-pipeline/1', 'jimkwon/nar2020/1', 'EulleSA/Metagenomics_Analysis/1', 'luslab/psiclip/2', 'schanbaek/eif3_par-clip/1', 'luslab/psiclip/1', 'slebedeva/CLIP_mapping/1'}",6.0,6.0,8.0,7.0,['cshl_fastx_collapser']
